osmid,y,x,street_count,ref,highway,geometry
224995020,45.5997396,-73.6394607,3,,,POINT (-73.6394607 45.5997396)
225015246,45.5702592,-73.6583239,4,,,POINT (-73.6583239 45.5702592)
225015249,45.5701268,-73.6583977,4,,,POINT (-73.6583977 45.5701268)
225015273,45.5625809,-73.6623821,4,,,POINT (-73.6623821 45.5625809)
225020467,45.5629353,-73.6069083,4,,,POINT (-73.6069083 45.5629353)
225020487,45.5624195,-73.6074129,4,265,,POINT (-73.6074129 45.5624195)
225048124,45.5816758,-73.6255032,4,,,POINT (-73.6255032 45.5816758)
225048151,45.5959691,-73.6425555,4,,,POINT (-73.6425555 45.5959691)
225048154,45.5970188,-73.6436469,3,,,POINT (-73.6436469 45.5970188)
225048163,45.5815556,-73.6256133,3,,,POINT (-73.6256133 45.5815556)
225048275,45.5703455,-73.6585364,4,,,POINT (-73.6585364 45.5703455)
225048277,45.570218,-73.6586036,4,,,POINT (-73.6586036 45.570218)
225061889,45.586228,-73.5853646,3,,,POINT (-73.5853646 45.586228)
225064760,45.5657641,-73.6475441,4,,,POINT (-73.6475441 45.5657641)
225065508,45.5656339,-73.6476143,4,,,POINT (-73.6476143 45.5656339)
225961821,45.5464819,-73.6381736,4,,,POINT (-73.6381736 45.5464819)
225993491,45.5507593,-73.6296431,4,,,POINT (-73.6296431 45.5507593)
226055300,45.5498392,-73.6375633,3,,crossing,POINT (-73.6375633 45.5498392)
227761294,45.5035624,-73.6749823,3,,,POINT (-73.6749823 45.5035624)
227778642,45.5031888,-73.6709373,3,,,POINT (-73.6709373 45.5031888)
227848865,45.4930743,-73.6794068,3,,,POINT (-73.6794068 45.4930743)
227856404,45.4949026,-73.6831145,3,64,motorway_junction,POINT (-73.6831145 45.4949026)
228732446,45.4987944,-73.5703712,5,,,POINT (-73.5703712 45.4987944)
228732459,45.49872,-73.5702385,4,,,POINT (-73.5702385 45.49872)
228975332,45.4899846,-73.5782682,3,,,POINT (-73.5782682 45.4899846)
229207047,45.4964614,-73.5873109,3,,,POINT (-73.5873109 45.4964614)
243077466,45.4449614,-73.643657,3,,motorway_junction,POINT (-73.643657 45.4449614)
244201847,45.4900553,-73.7626675,3,,,POINT (-73.7626675 45.4900553)
244968732,45.4741026,-73.7067545,3,,,POINT (-73.7067545 45.4741026)
245091996,45.4883566,-73.7632402,3,,,POINT (-73.7632402 45.4883566)
245092029,45.4896471,-73.7605483,3,,,POINT (-73.7605483 45.4896471)
245471080,45.490898,-73.7119865,3,,,POINT (-73.7119865 45.490898)
245471088,45.490809,-73.7124074,3,,,POINT (-73.7124074 45.490809)
245474329,45.472815,-73.7085141,3,,,POINT (-73.7085141 45.472815)
245474340,45.4698056,-73.7021245,3,,,POINT (-73.7021245 45.4698056)
245474355,45.4740465,-73.7074341,3,,,POINT (-73.7074341 45.4740465)
245474360,45.476541,-73.7096006,3,,,POINT (-73.7096006 45.476541)
245476581,45.4806829,-73.6980028,3,,,POINT (-73.6980028 45.4806829)
